"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2024","5,075","4,970","5,075","4,970","197.07M","2.53%"
"09/30/2024","4,950","5,050","5,050","4,950","539.17M","-2.94%"
"09/27/2024","5,100","5,050","5,150","5,000","304.69M","0.99%"
"09/26/2024","5,050","5,150","5,200","5,025","855.27M","-5.16%"
"09/25/2024","5,325","5,400","5,425","5,200","607.07M","-3.62%"
"09/24/2024","5,525","5,550","5,575","5,525","195.42M","0.45%"
"09/23/2024","5,500","5,350","5,500","5,350","245.29M","2.33%"
"09/20/2024","5,375","5,400","5,450","5,375","260.44M","-0.46%"
"09/19/2024","5,400","5,425","5,500","5,400","332.94M","0.93%"
"09/18/2024","5,350","5,350","5,375","5,325","186.88M","0.94%"
"09/17/2024","5,300","5,350","5,350","5,250","201.33M","0.00%"
"09/13/2024","5,300","5,200","5,300","5,175","259.72M","2.42%"
"09/12/2024","5,175","5,175","5,225","5,150","138.54M","0.00%"
"09/11/2024","5,175","5,225","5,250","5,125","165.28M","-1.43%"
"09/10/2024","5,250","5,200","5,250","5,125","202.33M","1.45%"
"09/09/2024","5,175","5,275","5,300","5,150","201.45M","-0.96%"
"09/06/2024","5,225","5,200","5,250","5,150","170.52M","1.46%"
"09/05/2024","5,150","5,125","5,150","5,075","166.44M","0.98%"
"09/04/2024","5,100","5,100","5,175","5,100","141.89M","-1.45%"
"09/03/2024","5,175","5,225","5,250","5,150","166.03M","0.00%"
"09/02/2024","5,175","5,150","5,225","5,150","136.72M","0.49%"
"08/30/2024","5,150","5,175","5,175","5,125","275.30M","0.49%"
"08/29/2024","5,125","5,125","5,175","5,100","160.04M","-0.49%"
"08/28/2024","5,150","5,100","5,175","5,025","277.56M","-0.48%"
"08/27/2024","5,175","5,250","5,275","5,100","271.09M","-2.36%"
"08/26/2024","5,300","5,200","5,325","5,200","361.17M","2.91%"
"08/23/2024","5,150","5,150","5,200","5,125","217.76M","1.98%"
"08/22/2024","5,050","5,125","5,150","5,025","474.04M","-0.98%"
"08/21/2024","5,100","4,990","5,100","4,980","390.31M","3.03%"
"08/20/2024","4,950","4,860","4,950","4,840","310.09M","2.70%"
"08/19/2024","4,820","4,820","4,820","4,750","196.20M","-0.21%"
"08/16/2024","4,830","4,850","4,870","4,830","149.70M","0.00%"
"08/15/2024","4,830","4,850","4,870","4,790","214.39M","0.21%"
"08/14/2024","4,820","4,770","4,840","4,760","262.72M","2.12%"
"08/13/2024","4,720","4,700","4,750","4,690","109.53M","0.85%"
"08/12/2024","4,680","4,720","4,720","4,650","83.55M","0.21%"
"08/09/2024","4,670","4,700","4,730","4,670","98.73M","0.21%"
"08/08/2024","4,660","4,600","4,690","4,590","131.34M","0.87%"
"08/07/2024","4,620","4,640","4,640","4,590","125.98M","0.43%"
"08/06/2024","4,600","4,550","4,650","4,520","238.05M","1.55%"
"08/05/2024","4,530","4,660","4,670","4,510","329.43M","-3.82%"
"08/02/2024","4,710","4,730","4,750","4,690","113.33M","-0.84%"
"08/01/2024","4,750","4,710","4,750","4,690","169.64M","1.71%"
"07/31/2024","4,670","4,650","4,710","4,650","168.49M","0.00%"
"07/30/2024","4,670","4,720","4,740","4,670","204.37M","-2.30%"
"07/29/2024","4,780","4,800","4,800","4,760","126.11M","0.42%"
"07/26/2024","4,760","4,760","4,810","4,740","192.27M","1.28%"
"07/25/2024","4,700","4,760","4,760","4,660","274.40M","-1.67%"
"07/24/2024","4,780","4,770","4,800","4,760","116.04M","-0.21%"
"07/23/2024","4,790","4,900","4,910","4,780","170.92M","-2.44%"
"07/22/2024","4,910","4,920","4,940","4,880","140.13M","0.20%"
"07/19/2024","4,900","4,870","4,910","4,850","135.10M","0.20%"
"07/18/2024","4,890","4,760","4,890","4,750","296.61M","2.73%"
"07/17/2024","4,760","4,750","4,810","4,720","263.33M","0.63%"
"07/16/2024","4,730","4,820","4,840","4,730","189.27M","-1.87%"
"07/15/2024","4,820","4,920","4,930","4,810","188.71M","-1.63%"
"07/12/2024","4,900","4,970","4,980","4,880","327.14M","1.24%"
"07/11/2024","4,840","4,910","4,920","4,840","170.47M","-0.21%"
"07/10/2024","4,850","4,870","4,920","4,840","167.62M","-0.41%"
"07/09/2024","4,870","4,780","4,930","4,750","291.32M","2.53%"
"07/08/2024","4,750","4,800","4,830","4,740","222.04M","-1.04%"
"07/05/2024","4,800","4,850","4,870","4,790","218.28M","0.21%"
"07/04/2024","4,790","4,680","4,830","4,660","422.26M","4.13%"
"07/03/2024","4,600","4,630","4,640","4,560","176.31M","0.66%"
"07/02/2024","4,570","4,610","4,630","4,570","234.40M","-1.30%"
"07/01/2024","4,630","4,630","4,670","4,560","261.42M","0.65%"
"06/28/2024","4,600","4,590","4,640","4,580","581.32M","3.14%"
"06/27/2024","4,460","4,410","4,500","4,380","299.43M","2.06%"
"06/26/2024","4,370","4,390","4,430","4,350","150.30M","-0.23%"
"06/25/2024","4,380","4,320","4,400","4,280","383.57M","-0.45%"
"06/24/2024","4,400","4,440","4,510","4,400","303.83M","-0.90%"
"06/21/2024","4,440","4,280","4,490","4,260","542.70M","3.98%"
"06/20/2024","4,270","4,130","4,270","4,130","387.13M","4.15%"
"06/19/2024","4,100","4,100","4,240","4,090","410.34M","-1.91%"
"06/14/2024","4,180","4,300","4,320","4,170","358.89M","-3.02%"
"06/13/2024","4,310","4,400","4,420","4,300","238.35M","-0.92%"
"06/12/2024","4,350","4,340","4,360","4,310","187.33M","0.23%"
"06/11/2024","4,340","4,380","4,440","4,340","197.85M","-1.36%"
"06/10/2024","4,400","4,350","4,430","4,320","181.39M","1.15%"
"06/07/2024","4,350","4,490","4,500","4,350","375.44M","-3.33%"
"06/06/2024","4,500","4,450","4,500","4,390","281.53M","2.27%"
"06/05/2024","4,400","4,500","4,500","4,400","246.36M","-1.12%"
"06/04/2024","4,450","4,560","4,590","4,450","332.90M","-1.77%"
"06/03/2024","4,530","4,430","4,560","4,400","345.77M","4.38%"
"05/31/2024","4,340","4,430","4,470","4,330","655.14M","-0.91%"
"05/30/2024","4,380","4,400","4,480","4,310","502.93M","-0.68%"
"05/29/2024","4,410","4,480","4,500","4,400","465.01M","-2.65%"
"05/28/2024","4,530","4,580","4,630","4,520","258.07M","-0.44%"
"05/27/2024","4,550","4,700","4,720","4,550","363.72M","-3.60%"
"05/22/2024","4,720","4,650","4,770","4,650","215.07M","0.85%"
"05/21/2024","4,680","4,810","4,870","4,680","272.60M","-2.90%"
"05/20/2024","4,820","4,990","5,050","4,820","335.15M","-2.03%"
"05/17/2024","4,920","4,840","4,960","4,820","208.99M","1.65%"
"05/16/2024","4,840","4,930","4,960","4,840","371.30M","0.41%"
"05/15/2024","4,820","4,780","4,870","4,760","298.99M","1.90%"
"05/14/2024","4,730","4,720","4,810","4,700","341.46M","1.07%"
"05/13/2024","4,680","4,650","4,700","4,630","320.07M","0.00%"
"05/08/2024","4,680","4,650","4,740","4,570","572.28M","0.21%"
"05/07/2024","4,670","4,770","4,780","4,670","304.01M","-2.51%"
"05/06/2024","4,790","4,800","4,840","4,730","262.71M","0.84%"
"05/03/2024","4,750","4,760","4,830","4,710","322.18M","-0.21%"
"05/02/2024","4,760","4,910","4,920","4,700","636.92M","-3.64%"
"04/30/2024","4,940","4,850","5,050","4,820","565.61M","3.56%"
"04/29/2024","4,770","4,700","4,890","4,680","700.64M","-1.24%"
"04/26/2024","4,830","5,050","5,100","4,830","782.59M","-6.21%"
"04/25/2024","5,150","5,125","5,200","5,050","479.17M","-1.44%"
"04/24/2024","5,225","5,250","5,350","5,150","471.24M","-1.42%"
"04/23/2024","5,300","5,350","5,400","5,225","283.68M","0.00%"
"04/22/2024","5,300","5,200","5,325","5,150","342.28M","0.47%"
"04/19/2024","5,275","5,350","5,375","5,250","258.21M","-3.65%"
"04/18/2024","5,475","5,300","5,500","5,300","247.41M","3.30%"
"04/17/2024","5,300","5,475","5,500","5,300","244.00M","-0.93%"
"04/16/2024","5,350","5,375","5,575","5,350","600.72M","-5.31%"
"04/05/2024","5,650","5,625","5,700","5,625","178.82M","-0.88%"
"04/04/2024","5,700","5,650","5,750","5,650","133.41M","1.33%"
"04/03/2024","5,625","5,575","5,675","5,525","333.52M","-0.88%"
"04/02/2024","5,675","5,850","5,950","5,625","412.18M","-4.22%"
"04/01/2024","5,925","6,000","6,025","5,825","217.21M","-2.07%"
"03/28/2024","6,050","6,100","6,200","6,025","288.93M","-3.20%"
"03/27/2024","6,250","6,300","6,325","6,225","73.31M","-0.79%"
"03/26/2024","6,300","6,200","6,300","6,200","120.75M","0.80%"
"03/25/2024","6,250","6,150","6,250","6,125","115.73M","2.04%"
"03/22/2024","6,125","6,050","6,125","6,050","74.94M","0.41%"
"03/21/2024","6,100","6,175","6,200","6,100","136.02M","0.00%"
